"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YCZF3YML","journalArticle","2026","Benzougagh, Brahim; Bammou, Youssef; Tayyeh, Halah Kadhim; Hussein, Ahmed Mageed; El Brahimi, Mohammed; Amraoui, Tarik; Sadkaoui, Driss; Khedher, Khaled Mohamed; Alghurabi, Salma Abdullah Hassan; Faqeih, Khadeijah Yahya; Jaufer, Lizny; Kader, Shuraik","Hybrid SVM–XGBoost framework for wildfire susceptibility mapping in palm oasis ecosystems to enhance risk assessment in arid and semi-arid regions","Natural Hazards","","0921-030X","10.1007/s11069-025-07735-w","","Oasis fires have become increasingly frequent due to climate change, threatening fragile ecosystems and agricultural livelihoods, particularly in the semi-arid region. This study develops a data-driven fire susceptibility mapping framework for Errachidia province, Morocco, integrating Sentinel-2 satellite imagery and machine learning (ML) models, including support vector machines (SVM), random forest (RF), and eXtreme gradient boosting (XGBoost). Unlike previous studies focusing on Mediterranean and arid landscapes, this research explicitly addresses wildfire susceptibility mapping in Moroccan oasis ecosystems, where limited scientific assessments exist. The study introduces an innovative ML-based fire susceptibility mapping framework for palm oasis ecosystems, which compiles multi-source geospatial datasets, including topographic, meteorological, and anthropogenic variables, to identify fire-prone areas from 2019 to 2024. Advanced feature selection and data preprocessing techniques were employed to enhance model efficiency. The dataset was split into 70% training and 30% testing, with model performance assessed using multiple metrics, including ROC-AUC, precision, recall, and F1-score. This work’s innovative hybrid SVM–XGBoost model demonstrated superior predictive accuracy, achieving an impressive 0.996 AUC, outperforming stand-alone models. The susceptibility maps identified high-risk hotspots near Oued Ziz, Ouled Chaker, and Aoufous Oases, where vegetated loss exceeded 30 hectares based on NDVI analysis. This study contributes to wildfire risk management by providing a robust, validated, and transferable methodology for fire prediction in arid and semi-arid ecosystems. The findings offer critical insights for targeted mitigation strategies, including optimized firebreak placement and community-driven fire awareness programs. Integrating remote sensing with ML, the proposed framework enhances early warning systems and adaptive wildfire resilience strategies, making it applicable to global fire-prone ecosystems facing similar climatic challenges. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","2026","2026-06-19 01:57:04","2026-06-19 01:57:04","","","","1","122","","Nat. Hazards","","","","","","Springer Science and Business Media B.V.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\UI5V2IY6\105026405751.html","","","Climate change; Machine learning (ML); Morocco; Oasis fires; Remote sensing; Wildfire susceptibility mapping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8BGAJFS","journalArticle","2026","Liu, Qiming; Shen, Zehao; Zhou, Mei","Spatio-temporal patterns and drivers of fire spread and severity: a case study of an extreme wildfire in China’s boreal forests","Fire Ecology","","1933-9747","10.1186/s42408-026-00448-w","","Background: Wildfire behavior results from nonlinear interactions among weather, fuel, topography, and human activities. Understanding the spatio-temporal characteristics of fire events is essential for gaining a deeper understanding of fire behavior and improving model predictions. However, real-time data collection on large wildfire events remains challenging, particularly for fires that occurred in earlier years. This study examines the 2003 ""Jinhe 5·5 Fire"" (105,834 ha) in China’ s Greater Khingan Mountains, a critical ecological barrier and wildfire-prone region, to identify fire behavior patterns and influencing factors. Methods: We retrieved burn dates from the MCD14DL active fire data and quantified fire severity using the Differenced Normalized Burn Ratio (dNBR) derived from Landsat imagery. Due to the limited availability of data, semivariogram analysis was employed to assess the spatial heterogeneity of burn dates and fire severity. Furthermore, we used a random forest model to identify the key factors influencing fire severity. Results: The main findings include: 1) The wildfire initially spread rapidly along roads from the ignition point in the northwest to the southeastern end of the burned area, later expanding perpendicularly (NE-SW). 2) Fire severity was highest on steeper slopes and in areas with rapid fire spread. 3) Pre-fire climate moisture and under-fire wind, as the main drivers of fire severity, were further influenced by human activities and topography. Conclusions: The spatial pattern of fire severity is jointly determined by fire spread dynamics and environmental factors, with faster-spreading fires exhibiting higher severity. These findings provide valuable insights into fire spread dynamics and spatial variability, informing fire prevention and post-disaster recovery strategies. © The Author(s) 2026.","2026","2026-06-19 01:57:09","2026-06-19 01:57:09","","","","1","22","","Fire Ecol.","Spatio-temporal patterns and drivers of fire spread and severity","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\KEV73YC5\Liu et al. - 2026 - Spatio-temporal patterns and drivers of fire spread and severity a case study of an extreme wildfir.pdf","","","Anisotropy; Boreal forests; Fire severity; Great Khingan Mountains (GKM); Machine learning; Spatial variability; Wildfire; Wildfire behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4ZIXYNB","journalArticle","2026","Galván Lara, Kevin Manuel; Miquelajauregui, Yosune; Enriquez Ocaña, Luis Fernando; Meling-López, Alf Enrique; Neger, Christoph; Abatzoglou, John; Galicia, Leopoldo; Hinojo, César; Jiménez-Guzmán, Graciela; Rodríguez Alcantar, Edelmira","Machine Learning and Deep Learning for Wildfire Prediction: A Systematic and Bibliometric Review of Methods, Data Practices, and Reproducibility (2020–2025)","Fire","","2571-6255","10.3390/fire9050204","","Wildfire prediction using machine learning (ML) and deep learning (DL) has expanded rapidly, yet synthesis regarding algorithmic configurations, data practices, and transparency remains limited. This systematic review characterizes ML/DL applications in wildfire prediction (2020–2025) using a PRISMA-EcoEvo framework across 341 peer-reviewed studies, with detailed analysis of 110 articles from 2024. Publication output increased steadily, concentrated geographically in China and the United States. Methodologically, ensemble tree-based methods (26.7%) and deep learning architectures (59.4%) coexist, reflecting adaptation to diverse data modalities. Input data are dominated by vegetation/fuel characteristics (44.7%) and historical fire labels (41.2%), while socioeconomic variables remain marginal (1.2%). Evaluation practices distinguish classification and regression tasks, yet metric heterogeneity constrains cross-study comparability. Critically, only 7.7% of studies provided publicly accessible code, with a significant association between algorithm family and code availability (χ2 = 78, p = 0.0012). Collectively, wildfire ML/DL research demonstrates technical advancement but remains geographically concentrated and constrained by limited transparency. Strengthening reporting standards, metric-task alignment, dataset documentation, and open-code practices is essential to translate computational innovation into globally robust, reproducible wildfire decision-support systems. © 2026 by the authors.","2026","2026-06-19 01:57:13","2026-06-19 01:57:13","","","","5","9","","Fire","Machine Learning and Deep Learning for Wildfire Prediction","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","","","","algorithm taxonomy; deep learning; evaluation metrics; machine learning; reproducibility; systematic review; wildfire prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98Q4WKGF","journalArticle","2026","Silva, Dener; Ferreira, Tiago Miguel; Rodrigues, Hugo","Artificial intelligence in wildland–urban interface wildfire management: a two‑phase review combining bibliometric mapping and thematic analysis","Natural Hazards","","0921-030X","10.1007/s11069-026-08131-8","","Wildland-Urban Interface (WUI) areas are critical zones where human settlements and wildland fuels intersect, resulting in heightened wildfire risk and increased potential for losses. This study presents a two‑phase review of literature where artificial intelligence (AI) is applied in wildfire and WUI studies, combining bibliometric mapping for wildfires and a thematic content analysis for WUI. In Phase One, over 3500 publications indexed in Scopus were analysed, searching generally for AI applications in wildfire research to investigate trends. This analysis revealed four dominant clusters: deep learning around computer vision, remote sensing-driven analysis, Random Forests and ensembles with environmental variables, and decision-support prediction. For this phase, the results suggested a notable rise in machine learning after 2016, potentially driven by increased computational capacity and the availability of high-resolution remote sensing, aligned to concerns about the growing impacts of wildfires. Phase Two focused on 52 peer‑reviewed studies explicitly addressing AI for WUI contexts. They were categorised into five thematic areas: risk and vulnerability, human behaviour and decision support, vegetation and fuel, detection and monitoring, and fire behaviour and spread. Models such as random forests, convolutional neural networks, and traditional statistical integrate various datasets, including satellite and UAV/LiDAR imagery, GIS information, and topographic-climatic and socio-economic indicators. The results indicate that AI has contributed to accurate models in spatial resolution and predictive risk for WUI areas, but faces challenges such as simplified WUI maps, fragmented and scarce data, limited model generalisation, and interpretability. Overall, this review identifies opportunities for detailed and diverse WUI mapping, explainable AI, and interdisciplinary collaboration providing means for actionable strategies for WUI communities. © The Author(s) 2026.","2026","2026-06-19 01:57:15","2026-06-19 01:57:15","","","","9","122","","Nat. Hazards","Artificial intelligence in wildland–urban interface wildfire management","","","","","Springer Science and Business Media B.V.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\FAVKEJC3\Silva et al. - 2026 - Artificial intelligence in wildland–urban interface wildfire management a two‑phase review combinin.pdf","","","Deep learning; Random forest; Remote sensing; Wildland-urban interface (WUI); WUI risk assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVVZ5X5D","journalArticle","2026","Padilla, Marc; Ramo, Ruben; Gomez-Dans, Jose Luis; Sierra, Sergio; Mota, Bernardo; Lacaze, Roselyne; Tansey, Kevin","Global Near-Real-Time Burned Area Mapping Using Sentinel-2 and VIIRS Active Fires","Fire","","2571-6255","10.3390/fire9050195","","Despite the well-known strong influence of spatial resolution on the quality of burned area mapping and the need for timely environmental information, global wildfire monitoring services are commonly based on coarse spatial resolution (300–500 m) reflectance imagery and deliver products months or years after the present date. The paper presents, for the first time, an algorithm that provides highly accurate near-real-time medium spatial resolution burned area, from 20 m Sentinel-2 imagery. The paper exploits a pioneering sensor-independent potential of a mapping method, based on land surface reflectance modelling and machine learning, originally optimised for Sentinel-3 imagery. The mapping method uses predictions of time series of burned area from a neural network, which are combined with the spatio-temporal density of active fire detections. The mapping method was calibrated and validated using reference datasets for the years 2020 and 2019, respectively. The novelty of this method lies in its high accuracy and multi-latency flexibility: it achieves a Dice coefficient (DC) of 82.7% with zero-day latency, already surpassing the 81.8% accuracy of current state-of-the-art non-time critical methods. As reflectance data availability increases, accuracy scales to DC 84.7% and 85.4% with 5 and 10 days of latency, respectively, and to DC 87.2% for monthly composites with 45 days of latency. © 2026 by the authors.","2026","2026-06-19 01:57:17","2026-06-19 01:57:17","","","","5","9","","Fire","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","","","","burned area; monitoring; near-real-time; Sentinel-2; terrestrial globe; VIIRS; wildfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHS7ZLU2","conferencePaper","2026","Jiang, Duan; Peng, Yan","Forest Fire Prediction Model Based on Machine Learning","Proc. Int. Conf. Comput. Model., Simul. Data Anal., CMSDA","979-8-4007-2000-0","","10.1145/3796731.3796733","","Forest fires are natural hazards characterized by sudden onset and complex causes, posing serious threats to ecosystem stability and public safety. In this study, a forest fire prediction framework based on machine learning was developed by integrating multi-source data, including meteorological conditions, terrain characteristics, anthropogenic factors, and vegetation information. Four forest fire prediction models were constructed using Logistic Regression, Random Forest, XGBoost, and Support Vector Machine algorithms. The experimental results indicate that the Random Forest-based model achieves the best overall performance, with an accuracy of 89.53%, a recall of 92.31%, an F1-score of 90.28%, and an AUC of 0.9555. Among all factors influencing forest fire occurrence, minimum relative humidity was identified as the most influential variable affecting model performance. Finally, the SHAP method was employed to interpret the model predictions, revealing both the magnitude and direction of the contributions of key features to forest fire risk discrimination. © 2025 Copyright held by the owner/author(s).","2026","2026-06-19 01:57:20","2026-06-19 01:57:20","","6-11","","","","","","","","","","","Association for Computing Machinery, Inc","","English","","","","","Scopus","","Journal Abbreviation: Proc. Int. Conf. Comput. Model., Simul. Data Anal., CMSDA","","","","","Forest Fire; Machine Learning; Prediction; Random Forest; SHAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of 2025 5th International Conference on Computational Modeling, Simulation and Data Analysis, CMSDA 2025","","","","","","","","","","","","","","",""
"DSIZA3P5","journalArticle","2026","Hu, Chenglei; Baltazar Bispo, Regina; Rue, Håvard; DaCamara, Carlos C.; Swallow, Ben; Castro-Camilo, Daniela","XGBoost Meets INLA: A Two-Stage Spatio-Temporal Forecasting of Wildfires in Portugal","Environmetrics","","1180-4009","10.1002/env.70089","","Wildfires pose a major threat to Portugal, with over 115,000 hectares burned annually on average during 1980–2024, and the country has faced devastating mega-fires such as those in 2017. Accurate forecasts of wildfire occurrence and burned area are therefore essential for firefighting resource allocation and emergency preparedness. In this study, we propose a novel two-stage ensemble that extends the widely used latent Gaussian modelling framework with integrated nested Laplace approximation (INLA) for spatio-temporal wildfire forecasting. Stage 1 applies a gradient boosting model (XGBoost) to environmental covariates and historical fire records to produce one-month-ahead point forecasts of fire counts and burned area. Stage 2 uses these predictions as external covariates in a latent Gaussian model with additional spatiotemporal random effects to generate probabilistic forecasts of monthly total fire counts and burned area at the council level. To capture both moderate and extreme events, we implement the extended generalised Pareto (eGP) likelihood (a sub-asymptotic distribution) within INLA, develop Penalised Complexity (PC) priors for its parameters, and compare the eGP likelihood with common alternatives (e.g., Gamma and Weibull). Our framework tackles the unavailability of future environmental covariates at prediction time and performs strongly for one-month-ahead forecasts. © 2026 The Author(s). Environmetrics published by John Wiley & Sons Ltd.","2026","2026-06-19 01:57:22","2026-06-19 01:57:22","","","","3","37","","Environmetrics","XGBoost Meets INLA","","","","","John Wiley and Sons Ltd","","English","","","","","Scopus","","","","","","","extreme value theory; gradient boosting; integrated nested Laplace approximation; machine learning; spatio-temporal forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDYBTNHS","journalArticle","2026","Yasmin, Farhana; Hasan, Mahade; Sinha, Anurag; Mondal, Sohel","AI-driven hazard assessment: a comprehensive study of machine and deep learning approaches","Asian Journal of Civil Engineering","","1563-0854","10.1007/s42107-025-01598-z","","Hazard assessment, whether for natural or man-made disasters, plays a critical role in minimizing the impact of environmental threats and protecting human lives and infrastructure. Traditional methods of hazard assessment often struggle to keep pace with the increasing complexity and frequency of hazard events. However, the integration of machine learning (ML) and deep learning (DL) techniques has revolutionized this field, offering powerful tools for data-driven predictions, risk analysis, and real-time decision-making. These AI-driven approaches enable the analysis of large-scale datasets, allowing for the identification of hidden patterns and correlations in hazard events, and improving the accuracy and scalability of hazard prediction models. In this study, we explore the applications of ML and DL in hazard assessment, highlighting their effectiveness in areas such as flood prediction, earthquake forecasting, and wildfire management. Machine learning techniques, including supervised and unsupervised learning, are used for predictive analysis, anomaly detection, and classification tasks, while deep learning models, particularly convolutional and recurrent neural networks, excel in handling spatial and temporal data such as satellite images and sensor data. Furthermore, hybrid models combining ML and DL techniques are discussed for their potential to enhance the robustness and accuracy of hazard predictions. The study also addresses the challenges of implementing AI in hazard assessment, including data quality issues, high computational costs, and the ethical implications of automated decision-making. Despite these challenges, the future of AI in hazard assessment looks promising, with innovations such as autonomous sensor networks, real-time data processing, and AI-powered global collaboration systems concrete the way for more effective hazard monitoring and disaster preparedness. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.","2026","2026-06-19 01:57:25","2026-06-19 01:57:25","","1517-1532","","4","27","","Asian J. Civ. Eng.","AI-driven hazard assessment","","","","","Springer Nature","","English","","","","","Scopus","","","","","","","Deep learning; Hazard assessment; Machine learning; Predictive modeling; Real-Time monitoring; Risk analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STXJQXT6","journalArticle","2026","Vibhandik, Priyanka; Sawant, Suraj; Mishra, Vishal; Bidwe, Ranjeet; Joshi, Amit","Harnessing geospatial intelligence for wildfire risk mapping using ML and DL techniques","Discover Applied Sciences","","3004-9261","10.1007/s42452-026-08288-8","","Forest fires seriously threaten the environment and the economy. Accurate and reliable predictive models are necessary to successfully reduce forest fires. Using multispectral satellite imagery and sophisticated algorithms, recent advances in machine learning (ML) and geospatial technology have improved forest fire susceptibility mapping. This study uses multispectral satellite imagery to map forest susceptibility to forest fires using ML and Deep Learning algorithms. The following boosting algorithms were assessed: XGBoost, CatBoost, LightGBM, and AdaBoost, as well as their ensemble combinations. In addition, DL models such as DenseNet121, MobileNetV2, ResNet, and EfficientNetB0 were used. DenseNet121 was the best DL model (0.9781), while the XGBoost, CatBoost, and LightGBM ensembles had the best ML accuracy (0.9951). These results demonstrate the potential of integrating geospatial data with contemporary machine learning and deep learning algorithms to improve wildfire susceptibility prediction under the studied conditions. © The Author(s) 2026.","2026","2026-06-19 01:57:27","2026-06-19 01:57:27","","","","3","8","","Discov. appl. sci.","","","","","","Springer Nature","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\EPRRP62U\Vibhandik et al. - 2026 - Harnessing geospatial intelligence for wildfire risk mapping using ML and DL techniques.pdf","","","AdaBoost; CatBoost; DenseNet121; EfficientNetB0; Ensemble; Forest fire susceptibility mapping; LightGBM; MobileNetV2; ResNet18; XGBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCBCLC8I","journalArticle","2026","Chen, Rui; Zhang, Yiru; Li, Yanxi; Yebra, Marta; Fan, Chunquan; Zhang, Hongguo; He, Binbin","Probabilistic mapping of high-intensity forest fire potential via time series machine learning and remote sensing-informed fire spread simulations","Remote Sensing of Environment","","0034-4257","10.1016/j.rse.2026.115233","","High-intensity forest fires have significant destructive impacts on ecosystems and society, and are an increasing concern worldwide. Accurate probabilistic risk assessment of these fires can effectively enhance the ability to guide wildfire management, particularly for large and extreme fires. However, forecasting large-scale fire behavior characteristics remains challenging, limiting the effectiveness of spatial estimations of high-intensity forest fire potential (HIFFP). This study aims to integrate fire spread simulations and machine learning (ML) algorithms to enhance HIFFP estimations through multi-step time-series forecasting on fire rate of spread and fireline intensity at regional scales. We first established a high-intensity forest fire dataset based on remote sensing-informed fire spread simulations from the Weather Research and Forecasting coupled fire-spread model (WRF-SFIRE), incorporating explanatory variables on fuel, weather, climate, and topography. Then, the knowledge-guided framework (multi-step time series-based ML, MTS-ML) was designed to estimate HIFFP within different hours after fires occur, integrating with Bayesian Network (BN), Random Forest (RF), and copula models. Results indicate that MTS-ML improved HIFFP modeling compared with ML-based methods, achieving AUC (the area under the receiver operating characteristic curve) > 0.95 (with ∼0.04 increments), F1 score > 0.85 (with ∼0.08 increments), and MAE < 0.15. Topographic index, foliage fuel load, and wind speed are identified as primary contributors to HIFFP. Probabilistic mapping of HIFFP represents wildfire danger, which is closely linked to burn severity and fire-induced carbon emissions. This study presents a novel framework for enhancing regional risk assessment of high-intensity forest fires, providing valuable guidance in wildfire control and management. © 2026 Elsevier Inc.","2026","2026-06-19 01:57:30","2026-06-19 01:57:30","","","","","334","","Remote Sens. Environ.","","","","","","Elsevier Inc.","","English","","","","","Scopus","","","","","","","Fire spread simulation; High-intensity forest fires; Machine learning; Wildfire danger assessment; WRF-SFIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
