ciudad,latitud,longitud,fecha,temperatura_media,temperatura_max,temperatura_min,humedad_relativa,precipitacion,velocidad_viento,direccion_viento
Cuenca,-2.9001,-79.0059,2012-01-01,14.47,19.38,10.5,87.58,36.56,2.7,81.4
Cuenca,-2.9001,-79.0059,2012-01-02,14.55,19.18,10.98,88.76,3.05,2.13,94.1
Cuenca,-2.9001,-79.0059,2012-01-03,13.72,16.62,11.92,92.94,11.97,1.99,106.1
Cuenca,-2.9001,-79.0059,2012-01-04,12.92,16.37,11.26,90.62,7.95,2.09,95.3
Cuenca,-2.9001,-79.0059,2012-01-05,13.17,16.41,10.82,89.36,13.51,1.58,136.4
Cuenca,-2.9001,-79.0059,2012-01-06,12.51,15.72,10.34,92.75,9.92,1.32,98.8
Cuenca,-2.9001,-79.0059,2012-01-07,13.34,17.27,10.86,90.88,10.37,1.75,92.4
Cuenca,-2.9001,-79.0059,2012-01-08,13.11,16.74,10.62,92.44,5.0,2.6,74.8
Cuenca,-2.9001,-79.0059,2012-01-09,13.33,17.76,10.35,89.74,0.4,2.32,90.5
Cuenca,-2.9001,-79.0059,2012-01-10,14.18,18.57,10.72,88.55,4.53,1.69,117.1
Cuenca,-2.9001,-79.0059,2012-01-11,14.75,19.52,11.34,87.43,4.77,2.33,79.6
Cuenca,-2.9001,-79.0059,2012-01-12,13.87,18.39,10.35,89.86,5.07,3.65,74.8
Cuenca,-2.9001,-79.0059,2012-01-13,13.4,18.22,9.62,90.19,1.18,3.52,76.7
Cuenca,-2.9001,-79.0059,2012-01-14,13.45,17.69,10.12,90.4,7.59,3.24,74.9
Cuenca,-2.9001,-79.0059,2012-01-15,12.56,15.65,10.45,93.97,4.46,2.91,74.8
Cuenca,-2.9001,-79.0059,2012-01-16,13.53,17.75,10.61,86.74,3.56,2.4,87.4
Cuenca,-2.9001,-79.0059,2012-01-17,13.62,17.65,10.5,90.23,7.18,2.14,93.6
Cuenca,-2.9001,-79.0059,2012-01-18,13.46,16.69,11.3,89.4,5.2,1.61,112.6
Cuenca,-2.9001,-79.0059,2012-01-19,13.47,16.92,11.05,89.5,3.92,1.67,124.6
Cuenca,-2.9001,-79.0059,2012-01-20,12.59,15.39,10.9,92.99,14.8,2.09,112.4
Cuenca,-2.9001,-79.0059,2012-01-21,12.83,16.47,9.98,88.95,3.98,1.95,131.2
Cuenca,-2.9001,-79.0059,2012-01-22,13.37,16.83,10.6,90.04,3.29,2.04,129.2
Cuenca,-2.9001,-79.0059,2012-01-23,12.92,15.79,10.75,91.73,3.06,2.19,101.9
Cuenca,-2.9001,-79.0059,2012-01-24,13.45,18.32,10.46,88.33,3.56,1.3,140.3
Cuenca,-2.9001,-79.0059,2012-01-25,13.88,18.61,10.5,87.03,7.37,1.8,93.6
Cuenca,-2.9001,-79.0059,2012-01-26,13.4,16.45,10.89,92.27,5.37,2.62,112.3
Cuenca,-2.9001,-79.0059,2012-01-27,12.91,15.37,11.15,93.81,5.5,3.39,88.2
Cuenca,-2.9001,-79.0059,2012-01-28,13.54,17.63,10.15,90.72,5.75,3.24,76.7
Cuenca,-2.9001,-79.0059,2012-01-29,13.3,17.49,10.4,89.6,8.23,2.59,76.0
Cuenca,-2.9001,-79.0059,2012-01-30,13.7,18.03,10.66,88.53,2.1,2.48,85.3
Cuenca,-2.9001,-79.0059,2012-01-31,14.02,18.06,10.95,88.69,4.3,3.24,86.7
Cuenca,-2.9001,-79.0059,2012-02-01,13.74,17.7,10.48,91.16,5.91,3.08,83.2
Cuenca,-2.9001,-79.0059,2012-02-02,13.8,17.77,11.15,90.03,2.14,2.95,77.6
Cuenca,-2.9001,-79.0059,2012-02-03,13.28,17.45,10.33,88.21,5.49,3.22,70.3
Cuenca,-2.9001,-79.0059,2012-02-04,13.25,17.19,10.42,87.69,4.97,3.03,71.4
Cuenca,-2.9001,-79.0059,2012-02-05,12.6,16.61,9.65,89.9,3.97,3.21,71.1
Cuenca,-2.9001,-79.0059,2012-02-06,12.81,16.71,9.87,88.53,5.03,3.58,86.5
Cuenca,-2.9001,-79.0059,2012-02-07,12.87,17.37,9.46,89.5,4.65,3.32,87.8
Cuenca,-2.9001,-79.0059,2012-02-08,13.11,17.24,10.12,87.24,13.26,2.82,79.7
Cuenca,-2.9001,-79.0059,2012-02-09,13.38,18.03,10.38,84.75,2.89,2.47,64.0
Cuenca,-2.9001,-79.0059,2012-02-10,14.14,18.49,11.33,82.43,3.13,2.15,87.5
Cuenca,-2.9001,-79.0059,2012-02-11,13.38,16.53,11.2,91.95,3.4,1.45,123.2
Cuenca,-2.9001,-79.0059,2012-02-12,13.46,17.11,10.18,88.67,7.13,1.24,235.2
Cuenca,-2.9001,-79.0059,2012-02-13,13.89,17.77,11.15,86.72,2.78,1.9,299.3
